mass_A
t,y,v_{y}
1.5666666666666669,0.0054302274340161105,-0.3098003759439363
1.5833333333333335,0.0013753352224645243,0.09922667233453798
1.6,0.008737783178500658,0.49795398554132275
1.6166666666666665,0.017973801407175083,0.21916873146412383
1.633333333333334,0.016043407560638268,-0.11106426865165199
1.6500000000000004,0.014271659118786584,0.05429937198553328
1.666666666666667,0.017853386626822676,-0.039981746456280526
1.6833333333333336,0.01293893423691056,-0.029422661490139033
1.7,0.016872631243818048,0.1477903758765825
1.716666666666667,0.017865280099463365,-0.052266367583861405
1.7333333333333334,0.015130418991022687,-0.5708169388287689
1.75,-0.0011619511948287586,-0.24885817102708913
1.766666666666667,0.00683514662345297,0.3355113550267093
1.7833333333333334,0.010021760639394917,-0.11862907261583698
1.8000000000000005,0.002880844202925059,-0.8016927535258727
1.8166666666666669,-0.016701331144800935,-0.38836859736669327
1.8333333333333335,-0.010064775709297924,0.32082549718337855
1.85,-0.006007147905355059,-0.12275170706306689
1.8666666666666665,-0.014156499278066781,-0.6640539441342681
1.883333333333334,-0.02814227937649766,-0.2978269496840244
1.9000000000000004,-0.024084064267534455,0.2151970361820002
1.916666666666667,-0.020969044837097717,-0.06597456523333453
1.9333333333333336,-0.026283216441978896,-0.278003672024821
1.95,-0.030235833904591614,-0.12380877394002004
1.966666666666667,-0.030410175573312936,0.017809213144887693
1.9833333333333334,-0.029642193466428712,-7.935429964873839E-4
2.0000000000000004,-0.03043662700652916,0.2584959287641484
2.016666666666667,-0.021025662507623666,0.12161910359903197
2.0333333333333337,-0.02638265688656144,-0.22242495792328573
2.0500000000000003,-0.028439827771733206,0.06880230943271635
2.066666666666667,-0.024089246572137568,0.676203961928489
2.0833333333333335,-0.005899695707450359,0.332191250780539
2.1,-0.013016204879452986,-0.3331827705931004
2.1166666666666667,-0.017005788060553695,0.11864668896807427
2.1333333333333337,-0.009061315247183788,0.7837590587179
2.1500000000000004,0.009119513896709897,0.3351355459432625
2.166666666666667,0.002109869617591631,-0.3273999478287995
2.1833333333333336,-0.0017938176975833553,0.09436852779006881
2.2,0.005255487210593934,0.5168763304201688
2.216666666666667,0.015435393316422186,0.2438407511926516
2.2333333333333334,0.01338351225034895,-0.12430838596117227
2.2500000000000004,0.011291780451049727,0.03914832365172669
2.266666666666667,0.014688456372073222,0.03574471450912694
2.2833333333333337,0.012483270934687318,0.021095113596525522
2.3000000000000003,0.015391626825290772,0.09190191729268837
2.316666666666667,0.01554666817777689,-0.0322960783183264
2.3333333333333335,0.014315090881346526,-0.45708035880251313
2.35,3.1065621769316154E-4,-0.20726201495525665
2.3666666666666667,0.007406357049504653,0.30452122904360907
2.3833333333333337,0.010461363852480254,-0.09635586545177467
2.4000000000000004,0.004194494867778786,-0.762236055073385
2.416666666666667,-0.01494650464996583,-0.31709952343149084
2.4333333333333336,-0.006375489246604138,0.37619264883662573
2.45,-0.0024067496887449913,-0.1197291134597548
2.466666666666667,-0.01036645969526262,-0.7064302590682598
2.4833333333333334,-0.025954424991020242,-0.33405312145158605
2.5,-0.021501563743648755,0.22849929029375116
2.5166666666666666,-0.018337781981228596,-0.08949561183252003
2.533333333333333,-0.02448475080473278,-0.3374434443317638
2.55,-0.029585896792287347,-0.1518674447494133
2.5666666666666673,-0.029546998963046633,0.032702932623200495
2.583333333333334,-0.028495799038180614,-0.006228859981360944
2.600000000000001,-0.029754627629092034,0.20591989761781146
2.616666666666667,-0.02163180245092028,0.09113809089160355
2.6333333333333337,-0.026716691266038595,-0.20689715452063098
2.65,-0.028528374268274537,0.061361058555838975
2.666666666666667,-0.024671322647510652,0.6415234155198679
2.683333333333334,-0.007144260417611736,0.2721785173251608
2.7,-0.015598705403338686,-0.3519872978664751
2.716666666666667,-0.018877170346494054,0.12140463401812959
2.733333333333333,-0.01155188426940107,0.7726377896131496
2.75,0.0068774226406108085,0.33237760089320406
2.766666666666667,-4.726309062940137E-4,-0.34292126484435204
2.783333333333333,-0.004553286187534256,0.11862236726591344
2.8000000000000007,0.003481448002569776,0.5773140338664359
2.816666666666667,0.0146905149413471,0.24980680377551234
2.833333333333334,0.011808341461753524,-0.10215801140267254
2.850000000000001,0.011285247894591288,0.0627545740934707
2.866666666666667,0.013900160598202538,0.0497756505308767
2.8833333333333337,0.012944436245620472,0.033847833735268174
2.9,0.01502842172271146,0.0636173449077819
2.916666666666667,0.015065014409213207,-0.013109599493983702
2.933333333333334,0.014591435072911996,-0.3982606534240857
2.95,0.0017896592950770729,-0.18143219588512907
2.966666666666667,0.008543695210074476,0.273168735143898
2.983333333333333,0.010895283799873479,-0.10380482009020583
3.0,0.005083534540400947,-0.7296835609711625
3.016666666666667,-0.0134275015658325,-0.3105671354459085
3.033333333333333,-0.005268703307795997,0.36581633881984243
3.0500000000000007,-0.0012336236051709304,-0.118478434601125
3.066666666666667,-0.00921798446116684,-0.738167204117103
3.083333333333334,-0.02583919707574095,-0.32423594092212665
3.100000000000001,-0.02002584915857125,0.2935380631089251
3.116666666666667,-0.016054594972110148,-0.08785490357526057
3.1333333333333337,-0.0229543459444132,-0.42903768846011997
3.15,-0.03035585125411394,-0.1965862852705429
3.166666666666667,-0.02950722212009793,0.061830336548469395
3.183333333333334,-0.028294840035831548,-0.025977486828779345
3.2,-0.030373138347723927,0.12580745881162878
3.216666666666667,-0.024101258075444,0.05999966421053931
3.233333333333333,-0.028373149540705966,-0.1646300519944473
3.25,-0.029588926475258903,0.058961137858821726
3.266666666666667,-0.026407778278745186,0.5849816650460081
3.283333333333333,-0.010089537640391999,0.2910686080979468
3.3000000000000007,-0.016705491342146828,-0.29784720096240486
